Date, Open, High, Low, Close
12/08/22, 6.9735, 6.9821, 6.9648, 6.9674
12/07/22, 6.9960, 6.9960, 6.9717, 6.9735
12/06/22, 6.9620, 6.9999, 6.9574, 6.9960
12/05/22, 7.0246, 7.0246, 6.9453, 6.9620
12/02/22, 7.0444, 7.0658, 7.0204, 7.0246
12/01/22, 7.0925, 7.0925, 7.0437, 7.0444
11/30/22, 7.1593, 7.1593, 7.0703, 7.0925
11/29/22, 7.2082, 7.2098, 7.1547, 7.1593
11/28/22, 7.1654, 7.2371, 7.1654, 7.2082
11/25/22, 7.1520, 7.1806, 7.1483, 7.1654
11/24/22, 7.1605, 7.1605, 7.1327, 7.1520
11/23/22, 7.1403, 7.1725, 7.1399, 7.1605
11/22/22, 7.1653, 7.1653, 7.1322, 7.1403
11/21/22, 7.1198, 7.1691, 7.1196, 7.1653
11/18/22, 7.1574, 7.1574, 7.1104, 7.1198
11/17/22, 7.0888, 7.1644, 7.0880, 7.1574
11/16/22, 7.0445, 7.0889, 7.0442, 7.0888
11/15/22, 7.0740, 7.0741, 7.0252, 7.0445
11/14/22, 7.1083, 7.1083, 7.0258, 7.0740
11/11/22, 7.1870, 7.1888, 7.0902, 7.1083
11/10/22, 7.2419, 7.2728, 7.1855, 7.1870
11/09/22, 7.2493, 7.2565, 7.2336, 7.2419
11/08/22, 7.2290, 7.2635, 7.2210, 7.2493
11/07/22, 7.1851, 7.2505, 7.1851, 7.2290
11/04/22, 7.3016, 7.3089, 7.1794, 7.1851
11/03/22, 7.2898, 7.3214, 7.2896, 7.3016
11/02/22, 7.2774, 7.2901, 7.2668, 7.2898
11/01/22, 7.3029, 7.3274, 7.2549, 7.2774
10/31/22, 7.2525, 7.3041, 7.2525, 7.3029
10/28/22, 7.2288, 7.2620, 7.2193, 7.2525
10/27/22, 7.1730, 7.2369, 7.1699, 7.2288
10/26/22, 7.2694, 7.2997, 7.1730, 7.1730
10/25/22, 7.2630, 7.3093, 7.2604, 7.2694
10/24/22, 7.2438, 7.2633, 7.2428, 7.2630
10/21/22, 7.2164, 7.2516, 7.2162, 7.2438
10/20/22, 7.2288, 7.2434, 7.2136, 7.2164
10/19/22, 7.2021, 7.2300, 7.1982, 7.2288
10/18/22, 7.1964, 7.2022, 7.1879, 7.2021
10/17/22, 7.1910, 7.2059, 7.1873, 7.1964
10/14/22, 7.1706, 7.2004, 7.1606, 7.1910
10/13/22, 7.1751, 7.2221, 7.1670, 7.1706
10/12/22, 7.1658, 7.1910, 7.1561, 7.1751
10/11/22, 7.1545, 7.1949, 7.1508, 7.1658
10/10/22, 7.1160, 7.1547, 7.1084, 7.1545
10/07/22, 7.1160, 7.1164, 7.1159, 7.1160
10/06/22, 7.1160, 7.1161, 7.1160, 7.1160
10/05/22, 7.1160, 7.1161, 7.1160, 7.1160
10/04/22, 7.1160, 7.1161, 7.1160, 7.1160
10/03/22, 7.1160, 7.1161, 7.1160, 7.1160
09/30/22, 7.1250, 7.1343, 7.0835, 7.1160
09/29/22, 7.2005, 7.2112, 7.1242, 7.1250
09/28/22, 7.1779, 7.2507, 7.1778, 7.2005
09/27/22, 7.1337, 7.1786, 7.1337, 7.1779
09/26/22, 7.1284, 7.1685, 7.1284, 7.1337
09/23/22, 7.0781, 7.1299, 7.0779, 7.1284
09/22/22, 7.0490, 7.0956, 7.0488, 7.0781
09/21/22, 7.0183, 7.0544, 7.0182, 7.0490
09/20/22, 7.0067, 7.0212, 7.0044, 7.0183
09/19/22, 6.9838, 7.0206, 6.9797, 7.0067
09/16/22, 6.9945, 7.0255, 6.9812, 6.9838
09/15/22, 6.9620, 6.9962, 6.9606, 6.9945
09/14/22, 6.9254, 6.9714, 6.9250, 6.9620
09/13/22, 6.9265, 6.9327, 6.9191, 6.9254
09/12/22, 6.9265, 6.9265, 6.9265, 6.9265
09/09/22, 6.9576, 6.9576, 6.9172, 6.9265
09/08/22, 6.9661, 6.9693, 6.9501, 6.9576
09/07/22, 6.9543, 6.9799, 6.9539, 6.9661
09/06/22, 6.9340, 6.9654, 6.9299, 6.9543
09/05/22, 6.9000, 6.9432, 6.9000, 6.9340
09/02/22, 6.9070, 6.9092, 6.9000, 6.9000
09/01/22, 6.8904, 6.9082, 6.8901, 6.9070
08/31/22, 6.9119, 6.9153, 6.8870, 6.8904
08/30/22, 6.9081, 6.9214, 6.8994, 6.9119
08/29/22, 6.8718, 6.9226, 6.8718, 6.9080
08/26/22, 6.8493, 6.8730, 6.8475, 6.8718
08/25/22, 6.8596, 6.8596, 6.8427, 6.8492
08/24/22, 6.8351, 6.8696, 6.8350, 6.8596
08/23/22, 6.8490, 6.8661, 6.8331, 6.8351
08/22/22, 6.8171, 6.8509, 6.8167, 6.8489
08/19/22, 6.7861, 6.8189, 6.7861, 6.8171
08/18/22, 6.7810, 6.7961, 6.7769, 6.7861
08/17/22, 6.7881, 6.7885, 6.7688, 6.7810
08/16/22, 6.7735, 6.7974, 6.7732, 6.7882
08/15/22, 6.7429, 6.7743, 6.7425, 6.7735
08/12/22, 6.7446, 6.7465, 6.7325, 6.7429
08/11/22, 6.7238, 6.7448, 6.7237, 6.7447
08/10/22, 6.7527, 6.7600, 6.7232, 6.7237
08/09/22, 6.7506, 6.7583, 6.7504, 6.7526
08/08/22, 6.7622, 6.7649, 6.7505, 6.7509
08/05/22, 6.7493, 6.7625, 6.7439, 6.7622
08/04/22, 6.7578, 6.7591, 6.7464, 6.7493
08/03/22, 6.7525, 6.7587, 6.7453, 6.7579
08/02/22, 6.7688, 6.7820, 6.7494, 6.7527
08/01/22, 6.7442, 6.7743, 6.7442, 6.7688
07/29/22, 6.7473, 6.7518, 6.7280, 6.7442
07/28/22, 6.7585, 6.7589, 6.7387, 6.7473
07/27/22, 6.7633, 6.7689, 6.7505, 6.7585
07/26/22, 6.7510, 6.7654, 6.7453, 6.7632
07/25/22, 6.7513, 6.7580, 6.7441, 6.7510
07/22/22, 6.7666, 6.7714, 6.7473, 6.7513
07/21/22, 6.7559, 6.7710, 6.7558, 6.7667
07/20/22, 6.7449, 6.7559, 6.7400, 6.7558
07/19/22, 6.7433, 6.7535, 6.7392, 6.7450
07/18/22, 6.7574, 6.7575, 6.7319, 6.7432
07/15/22, 6.7565, 6.7688, 6.7404, 6.7574
07/14/22, 6.7187, 6.7674, 6.7187, 6.7564
07/13/22, 6.7248, 6.7386, 6.7167, 6.7187
07/12/22, 6.7183, 6.7373, 6.7181, 6.7248
07/11/22, 6.6952, 6.7195, 6.6952, 6.7183
07/08/22, 6.7020, 6.7077, 6.6934, 6.6952
07/07/22, 6.7080, 6.7131, 6.6984, 6.7020
07/06/22, 6.7199, 6.7200, 6.7021, 6.7080
07/05/22, 6.7001, 6.7233, 6.6846, 6.7199
07/04/22, 6.7010, 6.7022, 6.6883, 6.7001
07/01/22, 6.6994, 6.7167, 6.6939, 6.7010
06/30/22, 6.7004, 6.7056, 6.6905, 6.6995
06/29/22, 6.7079, 6.7090, 6.6896, 6.7005
06/28/22, 6.6918, 6.7120, 6.6747, 6.7080
06/27/22, 6.6898, 6.6939, 6.6833, 6.6918
06/24/22, 6.6983, 6.6994, 6.6856, 6.6898
06/23/22, 6.7023, 6.7148, 6.6980, 6.6984
06/22/22, 6.6895, 6.7263, 6.6894, 6.7021
06/21/22, 6.6925, 6.7008, 6.6756, 6.6895
06/20/22, 6.7167, 6.7167, 6.6734, 6.6925
06/17/22, 6.7029, 6.7180, 6.6934, 6.7167
06/16/22, 6.7141, 6.7175, 6.6919, 6.7030
06/15/22, 6.7410, 6.7410, 6.7049, 6.7135
06/14/22, 6.7546, 6.7612, 6.7135, 6.7410
06/13/22, 6.7089, 6.7593, 6.7086, 6.7546
06/10/22, 6.6923, 6.7173, 6.6794, 6.7089
06/09/22, 6.6838, 6.6987, 6.6650, 6.6923
06/08/22, 6.6707, 6.6958, 6.6628, 6.6837
06/07/22, 6.6540, 6.6790, 6.6539, 6.6708
06/06/22, 6.6603, 6.6603, 6.6394, 6.6539
06/03/22, 6.6603, 6.6607, 6.6601, 6.6603
06/02/22, 6.6863, 6.7060, 6.6595, 6.6603
06/01/22, 6.6726, 6.6989, 6.6656, 6.6863
05/31/22, 6.6606, 6.6750, 6.6515, 6.6725
05/30/22, 6.6986, 6.7024, 6.6456, 6.6611
05/27/22, 6.7389, 6.7477, 6.6924, 6.6986
05/26/22, 6.6928, 6.7492, 6.6916, 6.7389
